userId,age,income_bracket,financial_goals,join_date
156,54.0,"$50,000-$75,000",Emergency Fund,1720047600.0
157,29.0,"$30,000-$50,000",Emergency Fund,1720652400.0
158,37.0,"$30,000-$50,000",Emergency Fund,1682463600.0
159,,"$75,000-$100,000",Retirement,1681426800.0
160,39.0,"$75,000-$100,000",Debt Freedom,1693177200.0
161,49.0,"$30,000-$50,000",Retirement|Emergency Fund,1723590000.0
162,46.0,"$30,000-$50,000",Retirement,1696806000.0
163,55.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1729378800.0
164,50.0,"$75,000-$100,000",Emergency Fund,1720047600.0
165,52.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1709334000.0
166,29.0,"$50,000-$75,000",Investment Growth,1680649200.0
167,51.0,"$50,000-$75,000",Debt Freedom,1724454000.0
168,42.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1689289200.0
169,28.0,"$50,000-$75,000",Investment Growth,1721343600.0
170,34.0,"$75,000-$100,000",Emergency Fund|Retirement,1716505200.0
171,50.0,"$50,000-$75,000",Retirement|Investment Growth,1676502000.0
172,32.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1692831600.0
173,51.0,"$75,000-$100,000",Emergency Fund|Retirement,1729292400.0
174,39.0,"$50,000-$75,000",Retirement|Emergency Fund,
175,41.0,,Debt Freedom,1728255600.0
176,47.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1727046000.0
177,46.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1696806000.0
178,34.0,,Retirement|Debt Freedom,1718838000.0
179,31.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1708383600.0
180,32.0,"$30,000-$50,000",Debt Freedom,1706050800.0
181,40.0,,Debt Freedom,1710889200.0
182,35.0,"$30,000-$50,000",Retirement,1733698800.0
183,40.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1700348400.0
184,,"$30,000-$50,000",Debt Freedom|Retirement,1693782000.0
185,52.0,"$75,000-$100,000",Debt Freedom,1703113200.0
186,38.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1712358000.0
187,36.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1694300400.0
188,27.0,"$50,000-$75,000",Investment Growth,1681945200.0
189,55.0,"$50,000-$75,000",Retirement,1710630000.0
190,42.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1701212400.0
191,25.0,"$50,000-$75,000",Retirement,1687474800.0
192,34.0,"$30,000-$50,000",Emergency Fund|Retirement,1679266800.0
193,55.0,"$75,000-$100,000",Investment Growth,1699398000.0
194,,"$75,000-$100,000",Investment Growth|Retirement,1730070000.0
195,29.0,"$75,000-$100,000",,1700262000.0
196,37.0,"$50,000-$75,000",Retirement|Investment Growth,1707260400.0
197,54.0,"$75,000-$100,000",,1721170800.0
198,,"$75,000-$100,000",Debt Freedom|Retirement,1684796400.0
199,32.0,"$30,000-$50,000",Debt Freedom|Retirement,
200,37.0,"$75,000-$100,000",Emergency Fund,1719961200.0
201,54.0,,Retirement|Emergency Fund,1722294000.0
202,46.0,"$50,000-$75,000",,1673391600.0
203,32.0,"$75,000-$100,000",Investment Growth,1713481200.0
204,43.0,"$30,000-$50,000",Investment Growth,1709247600.0
205,27.0,"$75,000-$100,000",Emergency Fund|Retirement,1718578800.0
206,40.0,,Emergency Fund|Debt Freedom,1735340400.0
207,52.0,"$30,000-$50,000",Retirement,1721343600.0
208,42.0,"$50,000-$75,000",Retirement|Debt Freedom,1710716400.0
209,48.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1690671600.0
210,47.0,"$30,000-$50,000",Emergency Fund,1712962800.0
211,46.0,"$75,000-$100,000",,1706828400.0
212,43.0,"$50,000-$75,000",Emergency Fund,1724713200.0
213,29.0,"$30,000-$50,000",Emergency Fund,1717714800.0
214,44.0,"$50,000-$75,000",Retirement|Emergency Fund,1698015600.0
215,35.0,"$75,000-$100,000",Debt Freedom|Retirement,1706482800.0
216,41.0,"$50,000-$75,000",Investment Growth|Retirement,1722466800.0
217,,"$50,000-$75,000",Emergency Fund,1712962800.0
218,49.0,"$75,000-$100,000",Emergency Fund,1704927600.0
219,49.0,,Investment Growth,1730329200.0
220,34.0,"$30,000-$50,000",Debt Freedom|Retirement,1682895600.0
221,32.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1690758000.0
222,50.0,,Retirement|Investment Growth,1698361200.0
223,33.0,"$75,000-$100,000",,1680908400.0
224,49.0,"$30,000-$50,000",,1683673200.0
225,29.0,"$75,000-$100,000",Investment Growth,1723590000.0
226,45.0,"$50,000-$75,000",Investment Growth,1697065200.0
227,53.0,"$50,000-$75,000",Debt Freedom,1713049200.0
228,47.0,"$30,000-$50,000",Retirement|Investment Growth,1716246000.0
229,51.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1676588400.0
230,50.0,"$30,000-$50,000",Investment Growth,1710370800.0
231,47.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1679785200.0
232,53.0,"$30,000-$50,000",Retirement|Investment Growth,1734735600.0
233,31.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1683154800.0
234,38.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1681599600.0
235,53.0,"$50,000-$75,000",Retirement,1722294000.0
236,,"$50,000-$75,000",Retirement,1726959600.0
237,52.0,"$30,000-$50,000",Investment Growth,1710457200.0
238,29.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1690671600.0
239,41.0,"$50,000-$75,000",Retirement,1682463600.0
240,45.0,"$75,000-$100,000",Emergency Fund,1684191600.0
241,51.0,"$50,000-$75,000",Investment Growth,1678921200.0
242,,,Debt Freedom,1707692400.0
243,45.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1726959600.0
244,27.0,"$75,000-$100,000",,1686265200.0
245,37.0,"$75,000-$100,000",Emergency Fund,1693609200.0
246,27.0,"$30,000-$50,000",Emergency Fund,1730674800.0
247,28.0,,Retirement,1703199600.0
248,50.0,"$50,000-$75,000",Emergency Fund,1682895600.0
249,25.0,"$50,000-$75,000",Emergency Fund,1723503600.0
250,40.0,"$50,000-$75,000",Emergency Fund,1681599600.0
251,46.0,"$30,000-$50,000",Debt Freedom,1673564400.0
252,40.0,"$30,000-$50,000",Investment Growth,1694473200.0
253,48.0,"$30,000-$50,000",Debt Freedom,1718146800.0
254,55.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1673218800.0
255,34.0,"$50,000-$75,000",Investment Growth,1716159600.0
256,49.0,"$75,000-$100,000",Retirement,1708729200.0
257,,"$75,000-$100,000",Emergency Fund,1730674800.0
258,48.0,"$30,000-$50,000",Investment Growth,1677798000.0
259,29.0,"$30,000-$50,000",Investment Growth,1705446000.0
260,48.0,,Investment Growth,1722726000.0
261,46.0,"$30,000-$50,000",Investment Growth|Emergency Fund,1701385200.0
262,33.0,"$30,000-$50,000",Retirement,1712271600.0
263,38.0,"$50,000-$75,000",,1699743600.0
264,52.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1701471600.0
265,47.0,"$50,000-$75,000",Emergency Fund,1687906800.0
266,,"$50,000-$75,000",Debt Freedom,1684882800.0
267,26.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1729551600.0
268,43.0,"$30,000-$50,000",Retirement,1711753200.0
269,27.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1710802800.0
270,37.0,"$50,000-$75,000",Emergency Fund,1689030000.0
271,39.0,"$30,000-$50,000",Emergency Fund,1721170800.0
272,27.0,"$30,000-$50,000",Debt Freedom,
273,36.0,"$50,000-$75,000",Investment Growth|Retirement,1700694000.0
274,25.0,"$50,000-$75,000",Emergency Fund|Investment Growth,
275,28.0,"$30,000-$50,000",Retirement,1706828400.0
276,51.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1734476400.0
277,43.0,"$75,000-$100,000",,1716073200.0
278,30.0,"$30,000-$50,000",Debt Freedom,1672527600.0
279,44.0,"$30,000-$50,000",Emergency Fund,1685574000.0
280,54.0,"$30,000-$50,000",Debt Freedom|Retirement,1731106800.0
281,28.0,"$50,000-$75,000",Investment Growth,1715554800.0
282,30.0,"$75,000-$100,000",Retirement|Emergency Fund,1687993200.0
283,48.0,"$30,000-$50,000",Investment Growth,1722726000.0
284,,"$75,000-$100,000",Investment Growth,1679353200.0
285,35.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1694559600.0
286,36.0,"$30,000-$50,000",Investment Growth,1709593200.0
287,53.0,"$50,000-$75,000",Debt Freedom|Retirement,1723590000.0
288,46.0,"$50,000-$75,000",Emergency Fund,1695596400.0
289,27.0,"$50,000-$75,000",Debt Freedom,1726786800.0
290,47.0,,,1710889200.0
291,28.0,"$30,000-$50,000",Emergency Fund|Retirement,1676847600.0
292,42.0,"$30,000-$50,000",Investment Growth,1731020400.0
293,40.0,"$30,000-$50,000",Debt Freedom|Retirement,1699743600.0
294,40.0,"$75,000-$100,000",Retirement|Investment Growth,1705186800.0
295,26.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1731538800.0
296,46.0,"$75,000-$100,000",Debt Freedom,1718751600.0
297,42.0,"$50,000-$75,000",Investment Growth,1707433200.0
298,47.0,,Debt Freedom,1712185200.0
299,30.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1727996400.0
300,44.0,"$75,000-$100,000",Debt Freedom,1707606000.0
301,52.0,"$50,000-$75,000",Investment Growth,1685746800.0
302,43.0,"$30,000-$50,000",,1681426800.0
303,52.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1726354800.0
304,30.0,"$30,000-$50,000",Debt Freedom|Retirement,1701817200.0
305,26.0,"$50,000-$75,000",Emergency Fund,1699311600.0
306,51.0,"$75,000-$100,000",Retirement,1711666800.0
307,35.0,"$50,000-$75,000",Retirement,1708470000.0
308,49.0,"$50,000-$75,000",Debt Freedom,1717282800.0
309,49.0,"$75,000-$100,000",Retirement,1694559600.0
310,,,Emergency Fund,1713567600.0
311,45.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1714431600.0
312,36.0,"$50,000-$75,000",Emergency Fund,1676847600.0
313,43.0,"$30,000-$50,000",Retirement,1708729200.0
314,52.0,"$75,000-$100,000",Retirement,1673218800.0
315,44.0,"$50,000-$75,000",Investment Growth|Retirement,1713135600.0
316,39.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1731106800.0
317,51.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1678143600.0
318,33.0,"$50,000-$75,000",Retirement|Debt Freedom,1693782000.0
319,50.0,"$75,000-$100,000",Retirement|Emergency Fund,1716505200.0
320,33.0,"$50,000-$75,000",Retirement,1692140400.0
321,45.0,"$75,000-$100,000",Retirement|Emergency Fund,1688511600.0
322,40.0,"$50,000-$75,000",Emergency Fund,1692140400.0
323,48.0,"$50,000-$75,000",Emergency Fund|Retirement,1713481200.0
324,40.0,,Investment Growth,1716764400.0
325,46.0,"$50,000-$75,000",Retirement,
326,43.0,"$50,000-$75,000",Debt Freedom,1728342000.0
327,35.0,"$30,000-$50,000",Retirement,1686524400.0
328,49.0,"$30,000-$50,000",Investment Growth|Retirement,1706396400.0
329,,"$75,000-$100,000",Emergency Fund,1719442800.0
330,46.0,,Emergency Fund,1681599600.0
331,43.0,"$30,000-$50,000",Emergency Fund|Retirement,1725231600.0
332,38.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1708210800.0
333,,"$30,000-$50,000",Retirement,1735426800.0
334,26.0,"$75,000-$100,000",Debt Freedom,1730329200.0
335,26.0,"$50,000-$75,000",Emergency Fund,1686006000.0
336,46.0,"$50,000-$75,000",Emergency Fund,1734476400.0
337,51.0,"$75,000-$100,000",Emergency Fund,1681858800.0
338,44.0,"$50,000-$75,000",Emergency Fund,1698620400.0
339,42.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1731884400.0
340,28.0,"$75,000-$100,000",Debt Freedom,1681426800.0
341,45.0,"$50,000-$75,000",Debt Freedom,1675983600.0
342,36.0,"$50,000-$75,000",Debt Freedom,1676502000.0
343,,"$75,000-$100,000",Investment Growth|Emergency Fund,1680735600.0
344,35.0,"$50,000-$75,000",Emergency Fund|Retirement,1714777200.0
345,45.0,"$30,000-$50,000",Retirement,1724713200.0
346,43.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1684018800.0
347,40.0,"$50,000-$75,000",Emergency Fund,1673564400.0
348,46.0,"$75,000-$100,000",Emergency Fund,1733353200.0
349,28.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1721862000.0
350,44.0,,Investment Growth,1687129200.0
351,40.0,"$50,000-$75,000",,1692226800.0
352,37.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1712012400.0
353,40.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1680562800.0
354,55.0,"$50,000-$75,000",Investment Growth,1704668400.0
355,51.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1681081200.0
356,32.0,,Emergency Fund|Investment Growth,1687042800.0
357,51.0,"$75,000-$100,000",Retirement|Debt Freedom,1707260400.0
358,51.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1724540400.0
359,53.0,"$75,000-$100,000",Investment Growth,1676761200.0
360,38.0,"$50,000-$75,000",,1688166000.0
361,30.0,"$30,000-$50,000",Investment Growth|Retirement,1733785200.0
362,33.0,"$50,000-$75,000",,1684278000.0
363,44.0,"$75,000-$100,000",Retirement|Debt Freedom,1698188400.0
364,54.0,"$75,000-$100,000",Emergency Fund,1703631600.0
365,43.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1674687600.0
366,26.0,"$30,000-$50,000",Emergency Fund,1685401200.0
367,47.0,"$30,000-$50,000",Emergency Fund,1681513200.0
368,46.0,"$30,000-$50,000",Retirement|Emergency Fund,1734044400.0
369,46.0,,Emergency Fund|Investment Growth,1694732400.0
370,52.0,"$50,000-$75,000",Retirement|Emergency Fund,1698534000.0
371,46.0,,,1683068400.0
372,38.0,"$50,000-$75,000",Debt Freedom|Retirement,1686178800.0
373,,"$75,000-$100,000",Investment Growth|Emergency Fund,1678921200.0
374,35.0,"$30,000-$50,000",Investment Growth,1708210800.0
375,32.0,"$75,000-$100,000",Emergency Fund|Debt Freedom,1727218800.0
376,42.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1726786800.0
377,32.0,"$75,000-$100,000",Debt Freedom|Retirement,1697497200.0
378,,"$50,000-$75,000",Investment Growth|Debt Freedom,1730156400.0
379,41.0,,Debt Freedom,1728169200.0
380,52.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1674601200.0
381,35.0,,Emergency Fund,1723330800.0
382,54.0,"$50,000-$75,000",Investment Growth|Retirement,1732057200.0
383,25.0,"$75,000-$100,000",Debt Freedom,1716937200.0
384,50.0,"$75,000-$100,000",Investment Growth|Retirement,1675206000.0
385,42.0,"$75,000-$100,000",Retirement|Investment Growth,1729810800.0
386,55.0,,Debt Freedom,1723158000.0
387,42.0,"$30,000-$50,000",Retirement|Investment Growth,1717801200.0
388,30.0,"$50,000-$75,000",Debt Freedom,1721084400.0
389,42.0,,Debt Freedom|Investment Growth,1715554800.0
390,36.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1712358000.0
391,46.0,"$75,000-$100,000",Emergency Fund|Retirement,1700175600.0
392,32.0,"$75,000-$100,000",Retirement|Emergency Fund,1714950000.0
393,36.0,"$50,000-$75,000",Debt Freedom,1684882800.0
394,31.0,"$75,000-$100,000",Debt Freedom,1728342000.0
395,,"$50,000-$75,000",Debt Freedom,1720566000.0
396,42.0,"$30,000-$50,000",Emergency Fund,1716850800.0
397,37.0,"$30,000-$50,000",Retirement,1688338800.0
398,43.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1715641200.0
399,33.0,"$30,000-$50,000",Investment Growth|Retirement,1676588400.0
400,,"$30,000-$50,000",Emergency Fund|Investment Growth,1687906800.0
401,37.0,"$75,000-$100,000",Emergency Fund,1692226800.0
402,36.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1711407600.0
403,27.0,"$50,000-$75,000",Retirement,1682982000.0
404,38.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1729724400.0
405,25.0,"$30,000-$50,000",Retirement,1675983600.0
406,29.0,,Investment Growth,1722380400.0
407,53.0,"$75,000-$100,000",Retirement,1714172400.0
408,30.0,"$50,000-$75,000",Emergency Fund,1733180400.0
409,39.0,"$30,000-$50,000",Retirement|Debt Freedom,1718751600.0
410,41.0,"$30,000-$50,000",Investment Growth,1725577200.0
411,,"$75,000-$100,000",Investment Growth,1725836400.0
412,25.0,"$75,000-$100,000",Emergency Fund|Debt Freedom,1710457200.0
413,50.0,"$50,000-$75,000",Investment Growth,1714690800.0
414,54.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1673132400.0
415,28.0,"$50,000-$75,000",Investment Growth|Retirement,1710198000.0
416,33.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1690498800.0
417,50.0,"$30,000-$50,000",Emergency Fund|Retirement,1734908400.0
418,29.0,"$75,000-$100,000",Investment Growth,1686783600.0
419,41.0,"$50,000-$75,000",Retirement,1728774000.0
420,,,Debt Freedom|Investment Growth,1705273200.0
421,26.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1711321200.0
422,,"$75,000-$100,000",Retirement,1732143600.0
423,,"$30,000-$50,000",,1696892400.0
424,36.0,"$50,000-$75,000",Debt Freedom,1721084400.0
425,51.0,"$75,000-$100,000",Retirement|Emergency Fund,1712703600.0
426,43.0,,Debt Freedom,1702594800.0
427,50.0,"$50,000-$75,000",Investment Growth|Retirement,1694041200.0
428,55.0,"$75,000-$100,000",Investment Growth,1678489200.0
