userId,debt_level,savings_rate,investment_experience,financial_stress_level
167,Medium,Low,Beginner,Low
168,Low,High,Intermediate,Low
169,Low,Medium,Beginner,Medium
170,,,,
171,Low,Medium,Intermediate,Low
172,Medium,High,Beginner,Medium
173,Low,Low,Intermediate,Low
174,,,,
175,Low,Medium,Beginner,Low
176,Medium,,Intermediate,High
177,Low,Medium,Intermediate,Medium
178,,,,
179,High,Medium,Beginner,High
180,Low,Medium,Intermediate,High
181,,High,Beginner,Medium
182,,,,
183,,,,
184,Low,High,Beginner,High
185,High,,Beginner,Low
186,Medium,Medium,Beginner,Medium
187,,,,
188,Medium,Low,Beginner,Medium
189,High,High,Intermediate,
190,Medium,Medium,Intermediate,High
191,High,Medium,Beginner,High
192,Low,High,Beginner,High
193,Low,High,Intermediate,Low
194,,,,
195,Low,Low,Beginner,High
196,Medium,High,Intermediate,Medium
197,High,Medium,,High
198,Medium,High,,High
199,Medium,Low,Beginner,High
200,High,Low,Intermediate,High
201,,,,
202,High,High,Intermediate,High
203,High,,,High
204,,,,
205,High,Medium,Intermediate,Low
206,High,High,Intermediate,
207,High,High,Beginner,
208,High,High,Intermediate,Medium
209,High,Medium,Intermediate,Medium
210,Low,High,,Medium
211,Medium,Medium,Beginner,High
212,Medium,Medium,Intermediate,Low
213,Low,High,,Medium
214,Medium,Low,Beginner,High
215,High,Low,Intermediate,Medium
216,Low,Low,Beginner,Medium
217,High,High,Beginner,Low
218,Medium,Low,Intermediate,High
219,,Medium,,High
220,Medium,,Intermediate,High
221,High,High,Beginner,High
222,Low,High,Intermediate,Low
223,,High,Intermediate,Medium
224,High,Low,Beginner,Medium
225,Low,Low,,
226,Medium,Low,Intermediate,Low
227,High,Low,Intermediate,Medium
228,Medium,High,Intermediate,Medium
229,,,,
230,High,High,Beginner,Low
231,Low,Low,Beginner,Medium
232,Low,Medium,,High
233,Medium,High,Beginner,High
234,Medium,Low,,Low
235,,,,
236,High,Low,Intermediate,High
237,High,Low,Intermediate,
238,Medium,,,Low
239,Low,Low,Beginner,High
240,High,Low,Intermediate,High
241,High,Medium,Beginner,Low
242,Low,High,Intermediate,Low
243,High,,Beginner,High
244,Medium,Medium,Beginner,High
245,High,Low,Beginner,Low
246,,,,
247,,High,,Medium
248,Medium,,Beginner,Medium
249,Medium,Low,Beginner,Low
250,Low,Medium,Intermediate,Medium
251,High,Medium,Beginner,Low
252,,Low,Intermediate,High
253,Low,High,,Medium
254,Medium,High,Intermediate,Medium
255,Medium,Medium,Intermediate,Medium
256,Medium,High,Intermediate,High
257,Low,Medium,Intermediate,Low
258,Low,,Intermediate,Medium
259,Low,Low,Intermediate,Low
260,Medium,Medium,Beginner,Medium
261,High,High,Beginner,High
262,,High,Intermediate,Medium
263,Low,,Beginner,Medium
264,High,Low,,
265,Low,High,Intermediate,High
266,High,Medium,Intermediate,High
267,High,,Beginner,Medium
268,Medium,High,Intermediate,Low
269,High,High,Intermediate,Low
270,Low,Low,Intermediate,High
271,Low,Medium,Beginner,Low
272,Low,Low,,Low
273,Low,Low,Intermediate,High
274,High,Medium,Beginner,High
275,High,High,Intermediate,
276,High,High,Beginner,
277,Medium,Medium,Intermediate,Medium
278,,Medium,Beginner,Low
279,High,Low,Beginner,Low
280,High,High,Beginner,Medium
281,,Medium,Beginner,High
282,,,,
283,Low,Medium,Beginner,High
284,Low,High,Intermediate,Low
285,Medium,Low,Beginner,Medium
286,Low,High,Beginner,Low
287,Medium,High,Beginner,
288,Low,Medium,Beginner,Medium
289,Medium,High,Beginner,Medium
290,Low,Medium,Intermediate,Medium
291,High,Low,Beginner,Low
292,,,,
293,High,Medium,Beginner,Low
294,Low,High,Intermediate,Medium
295,Medium,Medium,Beginner,High
296,,High,Beginner,Low
297,High,Low,Intermediate,Low
298,,Medium,Beginner,High
299,,,,
300,High,High,Beginner,Medium
301,,,,
302,Medium,Low,Intermediate,
303,High,Low,Beginner,Low
304,,,,
305,Low,Medium,Intermediate,High
306,,,,
307,,Low,Beginner,Low
308,High,Medium,Intermediate,Medium
309,,,,
310,Low,Medium,Beginner,Medium
311,,Medium,Intermediate,Low
312,Medium,Medium,Intermediate,High
313,Medium,Medium,Intermediate,Low
314,Low,Medium,Intermediate,High
315,Medium,High,Beginner,High
316,Low,Medium,Beginner,Medium
317,Low,Medium,,High
318,Low,,Intermediate,
319,,Medium,Intermediate,High
320,,,,
321,Low,Low,Beginner,Medium
322,Medium,,Beginner,Medium
323,High,Medium,Intermediate,Medium
324,Low,Low,Beginner,Low
325,Medium,Low,Intermediate,Medium
326,Low,Medium,Intermediate,High
327,Low,High,Intermediate,
328,Medium,,Intermediate,High
329,Low,High,Beginner,Medium
330,,High,Intermediate,Medium
331,Low,Medium,Intermediate,High
332,Low,Medium,Intermediate,Medium
333,,,,
334,Medium,,Intermediate,High
335,,,,
336,Low,Medium,Beginner,High
337,High,Medium,Intermediate,Low
338,,,,
339,Medium,Low,Intermediate,Medium
340,Medium,Low,Beginner,High
341,Low,Low,Intermediate,
342,Low,Low,Beginner,High
343,High,Low,Beginner,High
344,High,,Intermediate,High
345,Low,,Beginner,High
346,,,,
347,Medium,Medium,Intermediate,High
348,High,Low,Intermediate,Medium
349,,,,
350,Low,,Beginner,High
351,,,,
352,High,High,Intermediate,Low
353,,,,
354,Medium,Medium,Beginner,Medium
355,Medium,Low,Intermediate,Low
356,,,,
357,Low,High,Intermediate,Low
358,,,,
359,Medium,High,Intermediate,High
360,Low,Medium,Intermediate,
361,High,Low,Intermediate,Low
362,,,,
363,Medium,High,Intermediate,Low
364,Low,High,Beginner,Medium
365,High,High,Intermediate,Medium
366,High,Medium,Beginner,High
367,High,,,Medium
368,High,High,,High
369,Medium,High,Intermediate,High
370,High,Medium,Beginner,Medium
371,Low,Low,Beginner,
372,High,Low,Intermediate,Low
373,High,Medium,Beginner,High
374,Low,,Beginner,High
375,,,,
376,,Low,Beginner,High
377,,,,
378,High,Low,Intermediate,Medium
379,High,Medium,,Medium
380,,Medium,Intermediate,High
381,Medium,Low,Beginner,Low
382,High,Medium,Beginner,High
383,Low,Low,Intermediate,Medium
384,,,,
385,High,,Beginner,High
386,Medium,Medium,Intermediate,Low
387,High,Medium,,Low
388,Medium,Medium,Intermediate,High
389,Low,Medium,Beginner,Low
390,High,Low,,
391,Medium,High,,Medium
392,Low,,Beginner,High
393,Low,Low,Beginner,High
394,,Medium,,Low
395,Low,High,Intermediate,High
396,Medium,Medium,Intermediate,Low
397,High,Low,Intermediate,High
398,,Low,Intermediate,Low
399,,,,
400,,Medium,Beginner,
401,High,Low,Intermediate,Low
402,Low,Low,Beginner,
403,,,,
404,Low,Medium,,High
405,,,,
406,Medium,High,Intermediate,Medium
407,Low,Medium,Beginner,Low
408,,Medium,,Low
409,,,,
410,Low,Low,Intermediate,Low
411,Low,,Intermediate,Low
412,Medium,Medium,Beginner,Low
413,,High,,Medium
414,,Low,Intermediate,High
415,,,,
416,,,,
417,Medium,High,Beginner,Medium
418,High,Low,Beginner,
419,,,,
420,Medium,High,Intermediate,Low
421,Medium,High,Intermediate,
422,Low,High,Intermediate,High
423,Medium,Low,Beginner,High
424,Medium,High,Beginner,Low
425,Medium,Medium,Beginner,
426,Low,High,Beginner,Medium
427,Medium,Medium,Beginner,Medium
428,Low,Low,Intermediate,High
429,,,,
430,,,Beginner,Low
431,Low,Low,Beginner,Medium
432,Low,Low,Intermediate,Low
433,Medium,Low,Intermediate,Low
434,High,,Intermediate,Medium
435,,,,
436,Medium,High,Intermediate,
437,,Medium,Intermediate,Low
438,Low,High,Beginner,Low
439,High,High,Intermediate,Low
440,Low,Medium,Beginner,Low
441,,,,
442,Low,High,Beginner,High
443,Low,Low,Intermediate,Medium
444,,,,
445,Low,Medium,Beginner,Low
446,High,Low,Intermediate,Medium
447,Low,Medium,Beginner,High
448,Low,High,,Medium
449,Low,Medium,Beginner,Low
450,Medium,Low,Intermediate,Medium
451,,,,
452,Low,High,Intermediate,Medium
453,,,,
454,High,High,Beginner,
455,,,,
456,,Medium,Intermediate,
457,Low,Low,Intermediate,Medium
458,,Low,Intermediate,Medium
459,Low,High,Intermediate,Medium
460,High,Low,Beginner,Medium
461,Low,High,Intermediate,Medium
462,,,,
463,Low,Medium,Beginner,Low
464,Medium,Low,Intermediate,High
465,Medium,Low,Intermediate,High
466,,,,
467,Low,Medium,,High
468,,,,
469,High,Medium,Intermediate,Medium
470,,Medium,Beginner,High
471,Low,Medium,Intermediate,
472,,Low,Intermediate,High
473,High,Medium,Beginner,High
474,High,Low,Beginner,Low
475,Medium,Low,Beginner,High
476,Low,Medium,Beginner,
477,Medium,Low,Intermediate,
478,High,High,Beginner,Medium
479,High,High,Beginner,Medium
480,,,,
481,High,,Beginner,Low
482,High,Low,Intermediate,Medium
483,High,Medium,Intermediate,Medium
484,Low,High,Beginner,Medium
485,Low,Low,Intermediate,High
486,,High,Intermediate,Medium
487,Medium,Low,Beginner,Medium
488,Low,High,Intermediate,Medium
489,Medium,Medium,Intermediate,Medium
490,,,,
491,Low,Medium,Beginner,Medium
492,,Low,Intermediate,
493,Medium,Low,Intermediate,Medium
494,Medium,High,,Low
495,Medium,Low,Intermediate,High
496,Low,High,Intermediate,Low
497,Low,Medium,Intermediate,Low
498,Low,High,Beginner,
499,Low,Medium,Beginner,High
500,High,Medium,Beginner,Medium
501,Low,Low,Beginner,Medium
502,,,,
503,Medium,High,Beginner,Low
504,Low,Low,Beginner,High
505,Medium,Medium,Beginner,Medium
506,High,Medium,Intermediate,High
507,High,,Intermediate,Medium
508,High,Low,Beginner,Medium
509,High,,Intermediate,
510,High,Medium,Intermediate,High
511,Low,High,Intermediate,Medium
512,Low,,Intermediate,Low
513,,,,
514,High,,Intermediate,Medium
515,,,,
516,Medium,Medium,Intermediate,Medium
517,Low,Medium,Beginner,High
518,Medium,Medium,Beginner,High
519,,High,Beginner,Low
520,High,High,Intermediate,High
521,Medium,Medium,Beginner,Low
522,Medium,Low,Intermediate,High
523,High,Medium,Beginner,High
524,Low,High,Beginner,Medium
525,Medium,High,Beginner,Medium
526,High,Low,,High
527,High,Low,Beginner,Low
528,Medium,High,Beginner,High
529,Medium,Low,Intermediate,Medium
530,High,Low,Intermediate,Low
531,Low,Medium,Intermediate,Low
532,High,,Beginner,
533,Medium,Medium,Intermediate,High
534,Low,,Intermediate,High
535,Medium,Medium,Intermediate,
536,,High,Intermediate,High
537,,,,
538,Low,Medium,,Low
539,High,Medium,Beginner,High
540,,,,
541,,,,
542,,,,
543,Low,High,Intermediate,Low
544,Medium,Low,Beginner,Medium
545,Medium,Low,Intermediate,High
546,High,High,Intermediate,Medium
547,Medium,Medium,Beginner,Low
548,,,,
549,Medium,High,Beginner,Low
550,Low,Medium,Intermediate,High
551,High,,Beginner,High
552,High,Low,Intermediate,Medium
553,Medium,Medium,Beginner,Low
554,,,,
555,,,,
556,Medium,Medium,Beginner,Medium
557,Low,Medium,Beginner,Low
558,,,,
559,,,,
560,,Medium,Beginner,Medium
561,Medium,Low,Intermediate,Medium
562,Medium,Medium,Beginner,High
563,Medium,Low,Intermediate,
564,High,Medium,,Low
565,,,,
566,High,Medium,Intermediate,Medium
567,,,Intermediate,Low
568,Low,High,Intermediate,Medium
569,High,Medium,Intermediate,Low
570,High,Low,,Low
571,Low,High,Intermediate,
572,,,,
573,Medium,High,Intermediate,Medium
574,Low,Low,Intermediate,High
575,Low,Low,Intermediate,Medium
576,Low,,Beginner,
577,Medium,Low,,High
578,,,,
579,Low,,,Low
580,High,Low,,Medium
581,Low,Low,Beginner,High
582,High,High,Intermediate,Low
583,,,,
584,Medium,Low,Intermediate,Low
585,High,Medium,Intermediate,Medium
586,High,,Intermediate,Low
587,High,High,Beginner,High
588,Medium,Medium,Beginner,High
589,Low,,Intermediate,High
590,Low,,,Low
591,,,,
592,Medium,High,Intermediate,Low
593,Medium,High,Beginner,Low
594,High,High,Intermediate,High
595,Low,Low,Intermediate,Low
596,Low,High,Intermediate,Medium
597,High,High,Beginner,High
598,Medium,High,Intermediate,Medium
599,Medium,Low,Beginner,High
600,Low,Medium,Intermediate,High
601,Low,Medium,Beginner,Medium
602,High,Medium,Beginner,High
603,High,,Intermediate,Low
604,,,,
605,High,Medium,Beginner,Medium
606,Medium,High,Beginner,Medium
607,Medium,,Beginner,Low
608,Low,Low,Intermediate,
609,Low,High,Beginner,High
610,,,,
611,Medium,High,Beginner,Medium
612,High,,Beginner,Low
613,High,,Beginner,Low
614,High,Low,Intermediate,Medium
615,Low,Medium,Intermediate,Low
616,,,,
617,Low,Medium,Intermediate,Low
618,High,Medium,Intermediate,High
619,,,,
620,High,,Intermediate,High
621,High,Low,Intermediate,High
622,Low,Medium,Beginner,Low
623,Medium,High,Beginner,Medium
624,Medium,Medium,Beginner,Medium
625,Low,Low,Intermediate,Medium
626,,High,Beginner,Medium
627,Medium,High,Intermediate,Low
628,Medium,Low,,High
629,High,Medium,,Medium
630,Low,High,Beginner,Low
631,Medium,Medium,Beginner,
632,Low,Low,Beginner,Medium
633,,,Beginner,Low
634,High,Low,Beginner,Low
635,Low,Medium,Beginner,High
636,High,Medium,Intermediate,Low
637,,Medium,Beginner,High
638,Medium,Low,Intermediate,Low
639,Medium,Low,Beginner,Low
640,Low,High,Beginner,
641,Medium,Medium,Intermediate,Low
642,High,Medium,Intermediate,Medium
643,,Medium,Beginner,Low
644,Low,Low,Beginner,Medium
645,Medium,Medium,Intermediate,Medium
646,,,,
647,High,Low,Beginner,High
648,,High,Intermediate,
649,High,Medium,Intermediate,Medium
650,,High,,Medium
651,Medium,High,,Low
652,Medium,High,Beginner,Low
653,Low,Medium,Beginner,Medium
654,,,,
655,Low,Low,Beginner,
656,High,Medium,Intermediate,Medium
657,Low,Low,Beginner,Medium
658,Low,Medium,Beginner,Low
659,High,High,Intermediate,Medium
660,Medium,Low,Beginner,
661,Low,Low,Beginner,High
662,Medium,Medium,Beginner,
663,High,High,Intermediate,High
664,,,,
665,High,Medium,Intermediate,Medium
666,Medium,Medium,Beginner,Medium
667,Medium,High,Intermediate,Medium
668,High,,Beginner,Low
669,Low,Medium,Beginner,Medium
670,Medium,Low,Beginner,Medium
671,Low,High,Beginner,
672,,,,
673,,,,
674,Low,High,Beginner,Medium
675,,,,
676,High,Low,Intermediate,Low
677,,,,
678,,Low,Beginner,Medium
679,Medium,,Beginner,High
680,Low,High,Beginner,Medium
681,,,,
682,High,,Intermediate,High
683,Medium,Low,Beginner,High
684,,,,
685,Medium,High,Intermediate,High
686,Medium,Low,,High
687,Medium,High,Beginner,Low
688,High,High,Intermediate,Medium
689,,,,
690,,,,
691,Low,High,Intermediate,Low
692,Low,Medium,,Low
693,Medium,Medium,Beginner,Medium
694,Low,,Intermediate,Medium
695,,,,
696,Medium,High,Intermediate,Low
697,Medium,High,Beginner,Low
698,,,,
699,,Medium,,Low
700,,,,
701,High,Low,Beginner,Medium
702,Low,Low,Beginner,High
703,,,,
704,,,,
705,High,Medium,,High
706,Low,Low,Beginner,Low
707,Low,High,Beginner,Low
708,High,High,Intermediate,High
709,High,High,Intermediate,Low
710,Low,High,Beginner,High
711,,Medium,Intermediate,High
712,Medium,Low,Intermediate,Low
713,High,Medium,Beginner,Medium
714,Medium,Low,Beginner,Low
715,Medium,Low,Beginner,Low
716,,,,
717,High,High,Beginner,Medium
718,Medium,High,Beginner,Medium
719,High,Low,Intermediate,Medium
720,Low,Medium,Intermediate,Low
721,Low,High,Beginner,High
722,Low,Medium,Intermediate,High
723,High,Low,,Medium
724,Low,High,Beginner,Medium
725,High,High,Beginner,Low
726,High,,Beginner,Low
727,High,High,Beginner,Medium
728,High,Low,Beginner,Low
729,Low,Medium,Intermediate,Low
730,High,,Intermediate,Low
731,Low,Low,,Medium
732,High,Medium,Intermediate,High
733,High,Medium,Beginner,Low
734,,,,
735,High,Medium,Intermediate,High
736,Medium,High,Beginner,Medium
737,High,Low,Intermediate,High
738,,High,Beginner,Low
739,,,,
740,High,Medium,Intermediate,Low
741,Medium,Medium,Beginner,Low
742,High,Low,Intermediate,High
743,Medium,Medium,Intermediate,Medium
744,High,High,Beginner,Medium
745,,,,
746,Medium,,Intermediate,Low
747,,,,
748,,High,Beginner,High
749,High,High,Beginner,High
750,Low,Low,Intermediate,Low
751,High,Medium,Beginner,Medium
752,Medium,High,Intermediate,
753,Medium,Low,Intermediate,High
754,Low,High,Intermediate,Medium
755,Low,High,Intermediate,High
756,,Low,Beginner,Medium
757,Medium,Low,Beginner,High
758,Low,Medium,Intermediate,Medium
759,Medium,High,Intermediate,High
760,,Low,Beginner,Medium
761,High,Medium,Intermediate,Medium
762,High,High,Beginner,Medium
763,,,,
764,,,,
765,Low,Medium,,Medium
766,Low,High,Intermediate,High
767,,High,Beginner,High
768,High,High,Intermediate,Low
769,Medium,Low,Beginner,Low
770,Medium,Low,Beginner,Low
771,Low,High,Beginner,High
772,Low,Low,Intermediate,Low
773,High,Low,Intermediate,Low
774,,,,
775,Low,,Beginner,Medium
776,Medium,Low,,Low
777,High,Low,Beginner,Low
778,High,Medium,Beginner,
779,Low,High,Intermediate,High
780,Low,Low,Intermediate,Low
781,High,Low,Beginner,High
782,Low,Low,Beginner,Medium
783,Medium,Low,Beginner,High
784,High,Medium,Intermediate,High
785,Medium,Medium,Intermediate,Low
786,Low,Medium,Beginner,Medium
787,,,,
788,Low,High,Beginner,Medium
789,Low,Medium,Intermediate,Low
790,High,Low,Intermediate,Low
791,Medium,Low,Beginner,Medium
792,Low,Medium,Beginner,Low
793,Low,Low,Beginner,High
794,Low,High,Intermediate,Medium
795,,,,
796,,Medium,Intermediate,Low
797,Medium,Medium,Intermediate,Medium
798,High,Low,Intermediate,Low
799,,,,
800,Low,,Beginner,High
801,High,,Intermediate,Medium
802,Medium,Low,Beginner,Medium
803,Medium,High,Beginner,Low
804,Low,,Beginner,Low
805,High,Medium,Beginner,High
806,High,Low,,Medium
807,Low,,,Medium
808,High,Medium,Beginner,Medium
809,Low,Medium,,Low
810,,,,
811,,,,
812,Low,,Beginner,Low
813,High,High,Intermediate,Medium
814,,,,
815,Medium,Low,Intermediate,Medium
816,,,,
817,Low,Low,Intermediate,Medium
818,,,,
819,,Low,Intermediate,Medium
820,,,,
821,Medium,High,,High
822,Medium,High,Intermediate,High
823,,,,
824,High,High,Intermediate,Low
825,Medium,Low,Beginner,Medium
826,Medium,Low,,High
827,,High,Intermediate,Low
828,High,Medium,Beginner,
829,Low,Low,Intermediate,Low
830,,High,Beginner,Low
831,High,Low,Intermediate,High
832,Medium,,Intermediate,Medium
833,,,,
834,Low,,Beginner,Medium
835,Medium,High,Intermediate,Medium
836,,,,
837,Medium,Medium,Intermediate,High
838,Medium,Low,Beginner,Medium
839,,,,
840,,,,
841,High,High,Intermediate,
842,Medium,High,Intermediate,
843,Medium,High,Intermediate,High
844,High,Low,Intermediate,Low
845,Medium,High,Intermediate,Low
846,Low,Low,Beginner,Low
847,Medium,Low,Intermediate,Low
848,High,Medium,Intermediate,Low
849,Low,Low,,High
850,High,High,Beginner,High
851,Low,High,,Medium
852,Medium,,Intermediate,High
853,Low,Medium,Intermediate,Low
854,Low,High,Intermediate,Low
855,,,,
856,High,Medium,Intermediate,Low
857,Low,,Beginner,Medium
858,High,High,Beginner,Low
859,High,Medium,Beginner,Low
860,High,Low,,High
861,Low,Medium,Beginner,Medium
862,Low,,Beginner,High
863,Medium,Low,Intermediate,Medium
864,Low,,Beginner,High
865,Low,,Intermediate,High
866,,,,
867,Medium,Low,,
868,Low,High,Beginner,High
869,,,,
870,High,Medium,,High
871,Medium,High,,Medium
872,Low,Low,Beginner,
873,Low,High,Intermediate,High
874,Low,Medium,Beginner,Medium
875,High,High,Intermediate,
876,,Low,Beginner,Low
877,,,,
878,,,,
879,Low,Low,Beginner,Medium
880,Medium,Medium,Intermediate,Low
881,Low,Low,Intermediate,High
882,High,High,Beginner,Medium
883,High,Medium,Intermediate,
884,High,Low,Beginner,High
885,,,,
886,Low,Low,Intermediate,High
887,Low,Low,Beginner,Low
888,High,Medium,Beginner,
889,,,,Low
890,High,High,Intermediate,Medium
891,Medium,Low,Intermediate,
892,High,Medium,Intermediate,High
893,High,Medium,,Medium
894,,,,
895,High,Low,Beginner,High
896,,,,
897,Medium,Medium,Beginner,High
898,Low,Low,Intermediate,Low
899,High,Medium,Beginner,Low
900,Low,High,,Medium
901,High,Low,Intermediate,Low
902,,,,
903,High,Low,Beginner,High
904,Low,,Intermediate,High
905,Medium,High,Intermediate,Medium
906,High,Low,Beginner,High
907,Low,,Beginner,High
908,High,Medium,Intermediate,High
909,High,High,Beginner,High
910,Medium,,Beginner,Medium
911,Medium,Low,Beginner,Low
912,High,High,Beginner,Low
913,High,Medium,Beginner,High
914,,Medium,Beginner,
915,Medium,Low,Beginner,Medium
916,,Low,Beginner,High
917,,High,Intermediate,High
918,Low,,,High
919,Medium,High,Intermediate,
920,Medium,,Intermediate,Medium
921,Medium,High,Intermediate,Low
922,Medium,Low,Beginner,Low
923,Medium,,Beginner,Low
924,Medium,Low,Intermediate,Medium
925,Medium,Low,Intermediate,High
926,Medium,High,Intermediate,Medium
927,Low,High,Beginner,
928,,,,
929,,Medium,,Medium
930,,Medium,Beginner,Medium
931,,,,
932,Low,Medium,,Low
933,,Low,Intermediate,Medium
934,High,High,Beginner,High
935,Medium,Medium,Beginner,Low
936,Medium,High,Intermediate,High
937,Medium,Low,Intermediate,Low
938,Low,Low,Beginner,Low
939,,,,
940,,,,
941,,,,
942,High,Low,Intermediate,Low
943,High,Low,Intermediate,Medium
944,Medium,Medium,Intermediate,Low
945,Low,Medium,Beginner,
946,Low,High,Beginner,Medium
947,Low,Medium,,Low
948,Low,High,Intermediate,Low
949,High,High,Beginner,Low
950,,Medium,Intermediate,Medium
951,High,High,Beginner,High
952,Low,Medium,Intermediate,Medium
953,,,,
954,,Low,Intermediate,Medium
955,Low,Medium,,Low
956,Low,,,
957,Medium,Low,Beginner,High
958,,High,Intermediate,Low
959,High,Low,,High
960,Low,,,Low
961,,,,
962,High,High,Beginner,High
963,Low,Low,Beginner,Medium
964,Low,Low,Beginner,Medium
965,Medium,Low,Intermediate,Low
966,Low,High,Beginner,High
967,Low,Low,Intermediate,Low
968,High,Medium,Intermediate,Low
969,High,Medium,Intermediate,Medium
970,High,Low,Intermediate,
971,,,,
972,Medium,High,Intermediate,
973,Low,Medium,Beginner,Low
974,Medium,High,Beginner,Medium
975,,,,
976,,,,
977,Medium,,Beginner,Low
978,High,High,Intermediate,Medium
979,Low,High,Beginner,Low
980,High,Low,Intermediate,Medium
981,Low,High,Beginner,Low
982,,,,
983,Medium,Medium,Beginner,High
984,Medium,Low,Beginner,Medium
985,Low,High,,Low
986,High,Low,Intermediate,High
987,Low,Low,Intermediate,Low
988,Medium,Medium,Intermediate,Medium
989,Medium,Medium,Beginner,High
990,,Low,Intermediate,High
991,High,Medium,Intermediate,Medium
992,High,Low,Beginner,Low
993,Medium,Medium,Beginner,Low
994,,,,
995,Low,Medium,Beginner,Low
996,Low,High,Intermediate,Medium
997,Medium,Medium,Intermediate,Medium
998,,High,Intermediate,
999,Medium,Low,Intermediate,High
